evar69,evar66,product,units,segment.id,segment.name
43627,50031161,Feather Birds with Clip Tree Decorations Set of 3,1,,
43627,50032855,The National Trust Book of Crumbles,1,,
43628,,"Reusable Food Sandwich Bees Wrap 13"" x 13""1",10,,
43628,30091828,National Trust Pot Brush,1,,
43628,50022759,Bees Wraps Set of 3,4,,
43628,50039695,National Trust Crochet Bumblebee Keyring,2,,
43628,50044359,National Trust Fig Tree Tea Lights Set of 9,2,,
43629,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,1,,
43629,50029517,National Trust Moonlight Snowfall Christmas Card Pack of 10,1,,
43629,50042534,National Trust Snowy Forest Christmas Cards Pack of 10,1,,
43629,50042797,National Trust Moonlit Hare Christmas Cards Pack of 10,1,,
43630,50001878,Bakewell Tart Milk Chocolate Bar,1,,
43630,50031305,Toffee Apple Chocolate Bar,2,,
43631,50039003,Robin Balancing Plant Stake,3,,
43632,30084948,Twig Hedgehog Christmas Tree Decoration,1,,
43632,50039182,Waterproof Backed Herringbone Rug Assorted,1,,
43632,50042817,National Trust Family Organiser 2020,1,,
43633,50006152,Glass Reindeer Christmas Tree Decoration,1,,
43633,50031152,Paper Snowflake Hanging Christmas Decoration,3,,
43633,50031304,Wool Mouse Nativity Set,1,,
43634,30087213,Hedgehogs Hares and Other British Animals,1,,
43634,50024722,Who's Hiding on the Farm?,1,,
43634,50024727,National Trust Nature Origami,1,,
43634,50031287,Felt Barn Owl Christmas Tree Decoration,1,,
43634,50042807,National Trust Garden Christmas Cards Pack of 10,2,,
43635,50033402,The Tiger Who Came to Tea Tea Towel,2,,
43635,50043939,Petworth Trailing Floral Cake Forks,2,,
43635,50045562,National Trust  Petworth Trailing Floral Tea Towel,1,,
43638,50042535,National Trust Sheep In Snow Christmas Cards Pack of 10,1,,
43638,50042802,National Trust Robin Christmas Cards Pack of 10,1,,
43639,50036908,National Trust Trekking Pole,1,,
43639,50042534,National Trust Snowy Forest Christmas Cards Pack of 10,2,,
43639,50042797,National Trust Moonlit Hare Christmas Cards Pack of 10,2,,
43639,50045825,Stanley Classic Pocket Flask Stainless Steel Green,1,,
43640,50042817,National Trust Family Organiser 2020,1,,
43641,30088928,National Trust Rug Multicolour Fishbone,1,,
43642,50002575,National Trust Stilton Wafers,1,,
43642,50024091,Chocolate Covered Honeycomb,1,,
43642,50033532,Gluten Free Chocolate and Oat Biscuits,1,,
43642,500394671,National Trust Jack Wolfskin Women's Langdale Fleece Alloy,1,,
43642,50045686,National Trust Printed Cotton Shopper Knightshayes Natural,1,,
43643,30094808,National Trust Illusion Throw Duck Egg,1,,
43644,50045892,National Trust Silk Daisy Chain,2,,
43644,50046057,National Trust Wooden Fox,1,,
43644,50046058,National Trust Wooden Hare,2,,
43645,50031287,Felt Barn Owl Christmas Tree Decoration,1,,
43645,50031304,Wool Mouse Nativity Set,1,,
43645,50043923,National Trust Wild Fig Reed Diffuser 120ml,1,,
43646,50043924,National Trust Blue Spruce and Frosted Pine Reed Diffuser,1,,
43647,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,1,,
43647,50029517,National Trust Moonlight Snowfall Christmas Card Pack of 10,1,,
43647,50042534,National Trust Snowy Forest Christmas Cards Pack of 10,1,,
43647,50042806,National Trust Large Value Pack Christmas Cards Pack of 30,1,,
43647,50043771,National Trust Knightshayes Trailing Floral Cushion Oblong,1,,
43647,50045185,Starburst Light Silver,1,,
43648,50042806,National Trust Large Value Pack Christmas Cards Pack of 30,1,,
